URL,FILE_NAME,BASE_NAME,SEC,FILE_SIZE,GENRE,SITUATION,CAMERA,DANCER,MUSIC,CHOREOGRAPHY
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch01.mp4,gBR_sBM_c01_d04_mBR0_ch01.mp4,gBR_sBM_c01_d04_mBR0_ch01,11.99531667,3427560,gBR,sBM,c01,d04,mBR0,ch01
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch02.mp4,gBR_sBM_c01_d04_mBR0_ch02.mp4,gBR_sBM_c01_d04_mBR0_ch02,11.99531667,3308958,gBR,sBM,c01,d04,mBR0,ch02
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch03.mp4,gBR_sBM_c01_d04_mBR0_ch03.mp4,gBR_sBM_c01_d04_mBR0_ch03,11.99531667,3397453,gBR,sBM,c01,d04,mBR0,ch03
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch04.mp4,gBR_sBM_c01_d04_mBR0_ch04.mp4,gBR_sBM_c01_d04_mBR0_ch04,11.99531667,3417344,gBR,sBM,c01,d04,mBR0,ch04
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch05.mp4,gBR_sBM_c01_d04_mBR0_ch05.mp4,gBR_sBM_c01_d04_mBR0_ch05,11.99531667,3436974,gBR,sBM,c01,d04,mBR0,ch05
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch06.mp4,gBR_sBM_c01_d04_mBR0_ch06.mp4,gBR_sBM_c01_d04_mBR0_ch06,11.99531667,3351843,gBR,sBM,c01,d04,mBR0,ch06
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch07.mp4,gBR_sBM_c01_d04_mBR0_ch07.mp4,gBR_sBM_c01_d04_mBR0_ch07,11.99531667,3349356,gBR,sBM,c01,d04,mBR0,ch07
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch08.mp4,gBR_sBM_c01_d04_mBR0_ch08.mp4,gBR_sBM_c01_d04_mBR0_ch08,11.99531667,3378175,gBR,sBM,c01,d04,mBR0,ch08
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch09.mp4,gBR_sBM_c01_d04_mBR0_ch09.mp4,gBR_sBM_c01_d04_mBR0_ch09,11.99531667,3346796,gBR,sBM,c01,d04,mBR0,ch09
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gBR_sBM_c01_d04_mBR0_ch10.mp4,gBR_sBM_c01_d04_mBR0_ch10.mp4,gBR_sBM_c01_d04_mBR0_ch10,11.99531667,3434167,gBR,sBM,c01,d04,mBR0,ch10
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gHO_sBM_c01_d19_mHO0_ch01.mp4,gHO_sBM_c01_d19_mHO0_ch01.mp4,gHO_sBM_c01_d19_mHO0_ch01,8.725392059,2514732,gHO,sBM,c01,d19,mHO0,ch01
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gHO_sBM_c01_d19_mHO0_ch02.mp4,gHO_sBM_c01_d19_mHO0_ch02.mp4,gHO_sBM_c01_d19_mHO0_ch02,8.725392059,2516074,gHO,sBM,c01,d19,mHO0,ch02
https://aistdancedb.ongaaccel.jp/v1.0.0/video/2M/gHO_sBM_c01_d19_mHO0_ch03.mp4,gHO_sBM_c01_d19_mHO0_ch03.mp4,gHO_sBM_c01_d19_mHO0_ch03,8.725392059,2501322,gHO,sBM,c01,d19,mHO0,ch03
